1564478167.406236,1033.33,336.0,976.0,48.0
1564478167.4068549,1028.24,320.0,976.0,48.0
1564478167.4075575,1039.01,768.0,688.0,128.0
1564478167.408001,970.74,704.0,656.0,128.0
1564478167.408476,994.191,736.0,656.0,128.0
1564478167.408917,963.593,720.0,624.0,144.0
1564478167.4094188,933.775,688.0,624.0,96.0
1564478167.4098358,944.0,672.0,656.0,96.0
1564478167.4102695,970.212,672.0,688.0,128.0
1564478167.4109042,968.76,656.0,704.0,112.0
1564478167.411396,1018.99,704.0,736.0,32.0
1564478167.4118297,1030.73,736.0,720.0,48.0
1564478167.4122415,997.79,736.0,672.0,48.0
1564478167.412831,1140.72,816.0,784.0,144.0
1564478167.4132965,1060.48,768.0,720.0,128.0
1564478167.4137614,1052.6,800.0,672.0,128.0
1564478167.4141982,1072.12,848.0,640.0,144.0
1564478167.4146583,1071.52,832.0,656.0,160.0
1564478167.4150963,1039.01,768.0,688.0,128.0
1564478167.4155865,970.74,704.0,656.0,128.0
1564478167.416026,994.191,736.0,656.0,128.0
1564478167.4164867,963.593,720.0,624.0,144.0
1564478167.41691,933.775,688.0,624.0,96.0
1564478167.4174879,944.0,672.0,656.0,96.0
1564478167.4181254,970.212,672.0,688.0,128.0
1564478167.418771,968.76,656.0,704.0,112.0
1564478167.4194255,1018.99,704.0,736.0,32.0
1564478167.4200387,1030.73,736.0,720.0,48.0
1564478167.42067,997.79,736.0,672.0,48.0
1564478167.4214373,1140.72,816.0,784.0,144.0
1564478167.4218776,1060.48,768.0,720.0,128.0
1564478167.422294,1052.6,800.0,672.0,128.0
1564478167.4227595,1072.12,848.0,640.0,144.0
1564478167.4231925,1071.52,832.0,656.0,160.0
1564478167.4236555,1039.01,768.0,688.0,128.0
1564478167.4240782,970.74,704.0,656.0,128.0
1564478167.4245415,994.191,736.0,656.0,128.0
1564478167.4249716,963.593,720.0,624.0,144.0
1564478167.4254386,933.775,688.0,624.0,96.0
1564478167.4258466,944.0,672.0,656.0,96.0
1564478167.4263196,970.212,672.0,688.0,128.0
1564478167.426763,968.76,656.0,704.0,112.0
1564478167.4271817,1018.99,704.0,736.0,32.0
